Team,HomeKit,AwayKit
Aldershot,#be2d2c,
Arsenal,#DB0007,
Aston Villa,#670E36,
Birmingham,#103BCE,
Blackburn,#003366,
Bournemouth,#FF0000,
Brentford,#E30613,
Brighton,#0057B8,
Burnley,#6C1D45,
Chelsea,#034694,
Colchester,#0033FF,
Crystal Palace,#1B458F,
Derby,#231F20,
Everton,#003399,
Fulham,#000000,
Gillingham,#0000ff,
Ipswich,#3A64A3,
Leeds,#FFCD00,#241F20
Leicester,#003090,
Liverpool,#C8102E,
Man City,#6CABDD,
Man Utd,#DA291C,
Middlesbrough,#E11B22,
Newcastle,#241F20,
Norwich,#00A650,
Nottm Forest,#FF0000,
Reading,#0000FF,
Southampton,#D71920,
Tottenham,#132257,
Stoke,#E03A3E,
Sunderland,#FF0000,
Sutton Utd,#FFA500,
Truro,#EB4847,
West Bromwich,#122F67,
West Ham,#7A263A,
Woking,#ff0000,
Wolves,#FDB913,
Wycombe,#003263,
Stoke City,#E03A3E,
Spurs,#132257,
WBA,#122F67,
Leeds Utd,#FFCD00,
Alavés,#0761af,
Athletic,#ee2523,
Atlético,#272e61,
Barcelona,#a50044,
Celta,#8ac3ee,
Espanyol,#007fc8,
Getafe,#005999,
Girona,#d00424,
Las Palmas,#ffe500,
Leganes,#0c1f6e,
Mallorca,#0c1f6e,
Osasuna,#d91a21,
Rayo,#e43216,
Betis,#0BB363,
Real Madrid,#FEBE10,
Real Sociedad,#0067b1,
Sevilla,#f43333,
Valencia,#ffdf1c,
Villarreal,#ffe667,
Milan,#fb090b,
Elche,#006428,
Levante,#b4053f,
Oviedo,#024ba2,
Atalanta,#1e71b8,
Bologna,#a21c26,
Cagliari,#002350,
Como,#073f6a,
Cremonese,#ee161f,
Fiorentina,#482e92,
Genoa,#ad1919,
Verona,#005395,
Inter,#010E80,
Juventus,#000000,
Lazio,#87d8f7,
Lecce,#ed1b23,
Napoli,#12a0d7,
Parma,#ffd200,
Pisa,#171f1b,
Roma,#8e1f2f,
Sassuolo,#00A752,
Torino,#8A1E03,
Udinese,#000000,
Augsburg,#BA3733,
Leverkusen,#E32221,
Bayern München,#dc052d,
Dortmund,#FDE100,
M'gladbach,#000000,
Frankfurt,#E1000F,
Freiburg,#000000,
Hamburg,#185cb4,
Heidenheim,#e30013,
Hoffenheim,#1961B5,
Köln,#ED1C24,
Mainz 05,#C3141E,
Leipzig,#de013f,
St. Pauli,#624636,
Stuttgart,#E32219,
Union Berlin,#EB1923,
Bremen,#179152,
Wolfsburg,#51a700,
Angers,#000000,
Auxerre,#004da3,
Brest,#ED1C24,
Le Havre,#7abde8,
Lens,#EC1C24,
Lille,#E01E13,
Lorient,#F58113,
Metz,#6E0F12,
Monaco,#E51B22,
Nantes,#FCD405,
Nice,#000000,
Lyon,#14387f,
Marseille,#2FAEE0,
Paris FC,#030b32,
Paris SG,#004170,
Rennes,#E13327,
Strasbourg,#009FE3,
Toulouse,#695089,
Anderlecht,#4f237d,
Antwerp,#de1c2e,
Cercle Brugge,#009742,
Club Brugge,#0074b8,
Dender,#3752a4,
Genk,#0c83c8,
Gent,#004c97,
Mechelen,#ee2e24,
OHL,#5eb030,
La Louvière,#2b8c4a,
Sint-Truiden,#fdeb00,
Charleroi,#0b0b0b,
Standard,#ee3127,
R. Union SG,#ffd707,
Westerlo,#e5bc05,
ZW,#af173a,
Ajax,#ec1a49,
AZ,#e32f42,
Excelsior,#e31b22,
Feyenoord,#d00018,
Fortuna,#0e775b,
Go Ahead,#fece09,
Groningen,#0c9362,
Heerenveen,#094a88,
Heracles,#12252d,
NAC,#000000,
NEC,#ea4045,
Zwolle,#004e97,
PSV,#ee272e,
Sparta,#e72643,
Telstar,#1884c6,
Twente,#1884c6,
Utrecht,#d82534,
Volendam,#ee761f,
Alverca,#3676ae,
Arouca,#fef100,
AVS,#ad2831,
Benfica,#e02e2e,
Casa Pia,#000d17,
Estoril,#ffee14,
Estrela,#388e46,
Famalicão,#13273f,
Gil Vicente,#b3201d,
Moreirense,#145e25,
Nacional,#fdc223,
Porto,#0072b3,
Rio Ave,#008532,
Santa Clara,#da2416,
Braga,#c41518,
Sporting,#008057,
Tondela,#f8e600,
Vitória SC,#181818,